route_length_km,avg_speed_kmh,elevation_gain_m,traffic_density,weather_condition,vehicle_weight_kg,battery_capacity_kwh,avg_temperature_c,energy_consumption_kwh
69.17948978325008,32.89508617184627,306,0.5349629751153762,2,1453.569218946999,63.60291735003402,16.95071903814581,9.38
50.216531447762314,35.303274206296585,257,0.7374055887103064,1,1584.118998772897,47.648893315817865,11.628533002433842,8.72
3.793628774435445,41.717243410786025,119,0.5263588800758756,3,1163.663010569526,65.18354127281754,23.65368496808551,7.05
32.76230948302338,42.704956419775286,52,0.563018093805454,1,1505.6654836950759,62.26612081109045,20.331644085178393,8.37
38.73284621590646,41.112755171740794,239,0.24138029633464586,2,1530.0124997967766,59.63936999018897,17.514396245129866,7.48
161.35692331121106,13.48868497026102,22,0.5192930386575321,2,1068.675747691876,46.58389768111191,15.44003736668293,17.85
8.143871846621389,41.03717130409033,392,0.486382272505108,3,1541.8945169839437,58.197309252918394,27.375243500487386,11.79
58.39566577870706,49.45741278756233,308,0.4084180739315453,3,1296.3553098241928,62.72042518002383,20.16408628766544,20.01
78.74106368610272,52.14254200967386,235,0.0022547823622079965,1,1450.6797016386888,62.75447538061535,18.37572207562393,12.62
20.578782289110954,18.743841655470877,223,0.2762138389092965,1,1334.8328823037045,55.10384230109586,10.794027643696024,4.13
28.93005624881046,26.867498274486373,286,0.20491298572969496,1,1755.2420087948765,40.58585420850994,13.711574244745288,5.11
76.18339674320859,48.22446950145421,342,0.4813030112505148,3,1725.8646690691853,69.75847762301257,21.75181000487115,20.27
6.431227599142023,32.55383334953837,448,0.17258623301519915,3,1517.1938708142068,60.3374994777467,27.313652869224544,9.62
7.8570725709939175,30.645176482627548,332,0.5876655683782409,2,1563.5136174738286,50.649116827132175,21.60949379847359,10.1
149.37828291671843,51.225136705946724,122,0.8576616851258169,1,1332.6249176101348,79.18355252356515,25.03497956465761,20.67
132.22588987484937,43.81591727688217,392,0.18413508014101687,3,1676.6442200339425,63.34593893552436,24.18013738667616,24.54
